date, current
09.08.2021 09:39:11.663,0.02
09.08.2021 09:39:11.933,0.02
09.08.2021 09:39:12.601,0.02
09.08.2021 09:39:13.623,0.02
09.08.2021 09:39:14.597,0.03
09.08.2021 09:39:15.598,0.03
09.08.2021 09:39:16.819,0.03
09.08.2021 09:39:17.601,0.03
09.08.2021 09:39:18.596,0.03
09.08.2021 09:39:19.620,0.03
09.08.2021 09:39:20.614,0.03
09.08.2021 09:39:21.590,0.03
09.08.2021 09:39:22.619,0.03
09.08.2021 09:39:23.610,0.03
09.08.2021 09:39:24.597,0.03
09.08.2021 09:39:25.614,0.03
09.08.2021 09:39:26.609,0.03
09.08.2021 09:39:27.602,0.03
09.08.2021 09:39:28.623,0.03
09.08.2021 09:39:30.289,0.02
09.08.2021 09:39:30.603,0.02
09.08.2021 09:39:30.829,0.29
09.08.2021 09:39:31.616,0.29
09.08.2021 09:39:32.636,4.66
09.08.2021 09:39:33.693,4.66
09.08.2021 09:39:33.927,4.66
09.08.2021 09:39:34.711,18.71
09.08.2021 09:39:35.640,18.71
09.08.2021 09:39:35.869,-1.70
09.08.2021 09:39:36.633,-1.70
09.08.2021 09:39:36.859,0.10
09.08.2021 09:39:37.623,0.10
09.08.2021 09:39:37.848,0.10
09.08.2021 09:39:38.673,0.07
09.08.2021 09:39:38.900,0.07
09.08.2021 09:39:39.619,0.07
09.08.2021 09:39:40.672,0.07
09.08.2021 09:39:41.667,0.08
09.08.2021 09:39:42.662,0.08
09.08.2021 09:39:43.622,0.06
09.08.2021 09:39:43.848,0.06
09.08.2021 09:39:44.671,0.05
09.08.2021 09:39:45.633,0.05
09.08.2021 09:39:45.859,0.03
09.08.2021 09:39:46.620,0.03
09.08.2021 09:39:47.673,0.03
09.08.2021 09:39:48.633,0.03
09.08.2021 09:39:49.623,0.03
09.08.2021 09:39:50.673,0.03
09.08.2021 09:39:51.633,0.03
09.08.2021 09:39:52.623,0.03
09.08.2021 09:39:53.670,0.03
09.08.2021 09:39:53.898,0.02
09.08.2021 09:39:54.632,0.02
09.08.2021 09:39:54.861,0.02
09.08.2021 09:39:55.653,0.02
09.08.2021 09:39:55.881,0.03
09.08.2021 09:39:56.703,0.03
09.08.2021 09:39:56.934,0.03
09.08.2021 09:39:57.693,0.02
09.08.2021 09:39:57.918,0.03
09.08.2021 09:39:58.617,0.03
09.08.2021 09:39:59.703,0.03
09.08.2021 09:39:59.913,0.03
09.08.2021 09:40:00.632,0.03
09.08.2021 09:40:00.857,0.03
09.08.2021 09:40:01.623,0.03
09.08.2021 09:40:01.847,0.03
09.08.2021 09:40:02.703,0.03
09.08.2021 09:40:02.929,0.03
09.08.2021 09:40:03.663,0.02
09.08.2021 09:40:04.653,0.02
09.08.2021 09:40:04.876,0.02
09.08.2021 09:40:05.702,0.02
09.08.2021 09:40:05.928,0.03
09.08.2021 09:40:06.632,0.03
09.08.2021 09:40:07.653,0.03
09.08.2021 09:40:08.642,0.03
09.08.2021 09:40:09.633,0.03
09.08.2021 09:40:10.653,0.03
09.08.2021 09:40:11.643,0.03
09.08.2021 09:40:11.874,0.03
09.08.2021 09:40:12.663,0.01
09.08.2021 09:40:12.887,0.02
09.08.2021 09:40:13.649,0.02
09.08.2021 09:40:14.640,0.02
09.08.2021 09:40:15.663,0.03
09.08.2021 09:40:16.653,0.03
09.08.2021 09:40:16.878,0.03
09.08.2021 09:40:17.673,0.02
09.08.2021 09:40:18.660,0.02
09.08.2021 09:40:18.888,0.02
09.08.2021 09:40:19.653,0.02
09.08.2021 09:40:19.878,0.02
09.08.2021 09:40:20.731,0.02
09.08.2021 09:40:20.994,0.02
09.08.2021 09:40:21.676,0.02
09.08.2021 09:40:22.612,0.03
09.08.2021 09:40:23.599,0.03
09.08.2021 09:40:24.600,0.02
09.08.2021 09:40:25.706,0.03
09.08.2021 09:40:26.612,0.03
09.08.2021 09:40:27.602,0.02
09.08.2021 09:40:28.620,0.02
09.08.2021 09:40:29.607,0.02
09.08.2021 09:40:30.600,0.03
09.08.2021 09:40:31.619,0.03
09.08.2021 09:40:32.610,0.03
09.08.2021 09:40:33.603,0.03
